Unité,Titre (AR),Titre (FR),Dial.,Pers.,Texte Arabe,Phonétique,Traduction
8,العمل,Le Travail,8.3,مريم,أَنَا مُدَرِّسَةٌ. مَا مِهْنَتُكِ ؟,Ana mudarrisah. Mā mihnatuki?,Je suis enseignante. Quel est ton métier ?
8,العمل,Le Travail,8.3,زينب,أَنَا مُدَرِّسَةٌ أَيْضاً,Ana mudarrisah ayḍan,Je suis enseignante aussi.
8,العمل,Le Travail,8.3,مريم,فِي أَيِّ مَرْحَلَةٍ تُدَرِّسِينَ ؟,Fī ayyi marḥalatin tudarrisīn?,Dans quel niveau enseignes-tu ?
8,العمل,Le Travail,8.3,زينب,أُدَرِّسُ فِي الْمَرْحَلَةِ الابْتِدَائِيَّةِ,Udarrisu fī l-marḥalati l-ibtidā'iyyah,J'enseigne au niveau primaire.
8,العمل,Le Travail,8.3,زينب,وَفِي أَيِّ مَرْحَلَةٍ تُدَرِّسِينَ أَنْتِ ؟,Wa fī ayyi marḥalatin tudarrisīna anti?,Et dans quel niveau enseignes-tu toi ?
8,العمل,Le Travail,8.3,مريم,أُدَرِّسُ فِي الْمَرْحَلَةِ الْمُتَوَسِّطَةِ,Udarrisu fī l-marḥalati l-mutawassiṭah,J'enseigne au niveau moyen (collège).
8,العمل,Le Travail,8.3,زينب,هَلْ لَكِ أَطْفَالٌ ؟,Hal laki aṭfāl?,As-tu des enfants ?
8,العمل,Le Travail,8.3,مريم,نَعَمْ، لِي أَطْفَالٌ,"Naʿam, lī aṭfāl","Oui, j'ai des enfants."
8,العمل,Le Travail,8.3,زينب,كَمْ طِفْلاً لَكِ ؟,Kam ṭiflan laki?,Combien d'enfants as-tu ?
8,العمل,Le Travail,8.3,مريم,لِي خَمْسَةُ أَطْفَالٍ,Lī khamsatu aṭfāl,J'ai cinq enfants.
8,العمل,Le Travail,8.3,زينب,هَلْ تُحِبِّينَ عَمَلَكِ ؟,Hal tuḥibbīna ʿamalaki?,Aimes-tu ton travail ?
8,العمل,Le Travail,8.3,مريم,نَعَمْ، أُحِبُّ عَمَلِي,"Naʿam, uḥibbu ʿamalī","Oui, j'aime mon travail."
8,العمل,Le Travail,8.3,زينب,وَأَنَا أُحِبُّ عَمَلِي أَيْضاً,Wa ana uḥibbu ʿamalī ayḍan,Et moi j'aime mon travail aussi.
