Unité,Titre (AR),Titre (FR),Dial.,Pers.,Texte Arabe (Vocalisé),Phonétique,Traduction Française
16,العطلة,Les Vacances,16.1,الأب,صَاعٌ مِنْ طَعَامٍ عَنْ كُلِّ شَخْصٍ,Ṣāʿun min ṭaʿāmin ʿan kulli shakhṣ,Un Sa' (mesure) de nourriture pour chaque personne.
16,العطلة,Les Vacances,16.1,الابن,وماذا نَفْعَلُ بَعْدَ ذَلِكَ ؟,Wa mādhā nafʿalu baʿda dhālik?,Et que faisons-nous après cela ?
16,العطلة,Les Vacances,16.1,الأب,نُصَلِّي صَلاةَ العيد ، ونزورُ الأَهْل والأصدقاء,"Nuṣallī ṣalāta l-ʿīd, wa nazūru l-ahla wa l-aṣdiqā'","Nous prions la prière de l'Aïd, et nous visitons la famille et les amis."
16,العطلة,Les Vacances,16.1,الابن,وَمَتى عيد الأضحى ؟,Wa matā ʿĪdu l-Aḍḥā?,Et quand est l'Aïd al-Adha ?
16,العطلة,Les Vacances,16.1,الأب,في اليَوْمِ العاشر من ذي الحجة,Fī l-yawmi l-ʿāshiri min Dhī l-Ḥijjah,Le dixième jour de Dhu al-Hijjah.
16,العطلة,Les Vacances,16.1,الابن,وماذا نَفْعَلُ في عيد الأضحى ؟,Wa mādhā nafʿalu fī ʿĪdi l-Aḍḥā?,Et que faisons-nous à l'Aïd al-Adha ?
16,العطلة,Les Vacances,16.1,الأب,نُصَلِّي صَلاةَ العيد، ونَدْبَحُ الأَضْحِيَّةَ، وَنَزُورُ الأهل والأصدقاء,Nuṣallī... wa nadhbaḥu l-uḍḥiyyah...,"Nous prions la prière de l'Aïd, nous sacrifions la bête (l'offrande), et nous visitons famille et amis."
16,العطلة,Les Vacances,16.2,أحمد,اقْتَرَبَتِ العُطْلَةُ يا أبي,Iqtarabati l-ʿuṭlatu yā abī,Les vacances approchent mon père.
16,العطلة,Les Vacances,16.2,الأب,ما رَأيكِ يَا نَدَى ؟ إِلَى أَيْنَ نُسَافِرُ ؟,Mā ra'yuki yā Nadā? Ilā ayna nusāfir?,Quel est ton avis Nada ? Où voyageons-nous ?
16,العطلة,Les Vacances,16.2,ندى,لَدَيَّ فِكْرَةٌ ، نُسَافِرُ إِلى مِصْرَ,"Ladayya fikrah, nusāfiru ilā Miṣr","J'ai une idée, nous voyageons en Égypte."
16,العطلة,Les Vacances,16.2,أحمد,لماذا نُسَافِرُ إِلى مِصْرَ ؟,Limādhā nusāfiru ilā Miṣr?,Pourquoi voyageons-nous en Égypte ?
16,العطلة,Les Vacances,16.2,ندى,لِنَرَى مِصْرَ ، وَنَهْرَ النِّيلِ,"Linarā Miṣr, wa nahra n-Nīl",Pour voir l'Égypte et le fleuve Nil.
16,العطلة,Les Vacances,16.2,أحمد,مُوافِقٌ ، فَكْرَةٌ طَيِّبَةٌ,"Muwāfiq, fikratun ṭayyibah","D'accord, bonne idée."
16,العطلة,Les Vacances,16.2,الأب,كَيْفَ نُسَافِرُ إِلَى مِصْرَ ؟,Kayfa nusāfiru ilā Miṣr?,Comment voyageons-nous en Égypte ?
16,العطلة,Les Vacances,16.2,ندى,نُسَافِرُ بِالجَو,Nusāfiru bi-l-jaw,Nous voyageons par les airs (avion).
16,العطلة,Les Vacances,16.2,الأب,السَّفَرُ بِالجو غال,As-safaru bi-l-jawwi ghāl,Le voyage par avion est cher.
16,العطلة,Les Vacances,16.2,أحمد,إذن نُسَافِرُ بِالبَحْرِ السَّفَرُ بِالبَحْرِ رَخِيصٌ,Idhan nusāfiru bi-l-baḥr...,"Alors voyageons par la mer, le voyage par mer est bon marché."
16,العطلة,Les Vacances,16.2,الأب,كَمْ يَوْماً سَنَقْضِي فِي مِصْرَ ؟,Kam yawman sanaqḍī fī Miṣr?,Combien de jours passerons-nous en Égypte ?
16,العطلة,Les Vacances,16.2,ندى,سَبْعَةَ أَيَّامٍ,Sabʿata ayyām,Sept jours.
16,العطلة,Les Vacances,16.2,الأب,سَبْعَةَ أَيَّامٍ ... جَمِيلٌ نُسَافِرُ يَوْمَ السَّبْتِ، إِنْ شَاءَ الله,"...Jamīl, nusāfiru yawma s-sabt...","Sept jours... Bien, nous voyagerons samedi, si Dieu le veut."
16,العطلة,Les Vacances,16.2,أحمد وندى,شُكْراً لَكَ يا أبي,Shukran laka yā abī,Merci à toi mon père.
16,العطلة,Les Vacances,16.3,المدرس,أَيْنَ سَتَقْضُونَ عُطْلَةَ الصَّيْفِ يا أبنائي ؟,Ayna sataqḍūna ʿuṭlata ṣ-ṣayfi yā abnā'ī?,Où passerez-vous les vacances d'été mes enfants (fils) ?
16,العطلة,Les Vacances,16.3,المدرس,إلى أَيْنَ سَتَذْهَبُ أَنْتَ ؟,Ilā ayna satadh-habu anta?,Où iras-tu toi ?
16,العطلة,Les Vacances,16.3,الطالب 1,سَأَقْضِي عُطْلَةَ الصَّيْفِ فِي القَرْيَةِ مَعَ جدي,Sa-aqḍī ʿuṭlata ṣ-ṣayfi fī l-qaryati maʿa jaddī,Je passerai les vacances d'été au village avec mon grand-père.
16,العطلة,Les Vacances,16.3,الطالب 1,المكانُ هُناكَ هَادِئٌ ، والهَواءُ نَقِيٌّ,"Al-makānu hunāka hādi', wa l-hawā'u naqiyy","L'endroit là-bas est calme, et l'air est pur."
16,العطلة,Les Vacances,16.3,الطالب 2,سَأقْضِي عُطْلَةَ الصَّيْفِ فِي العَاصِمَةِ مَعَ عَمِّي,Sa-aqḍī ʿuṭlata ṣ-ṣayfi fī l-ʿāṣimati maʿa ʿammī,Je passerai les vacances d'été dans la capitale avec mon oncle paternel.
16,العطلة,Les Vacances,16.3,الطالب 2,سأزور المكتبات والمتاحف,Sa-azūru l-maktabāti wa l-matāḥif,Je visiterai les bibliothèques et les musées.
16,العطلة,Les Vacances,16.3,الطالب 3,سأقضي عُطْلَةَ الصَّيْفِ بَيْنِ الجِبالِ مَعَ فَرِيقِ الجوالة,Sa-aqḍī ʿuṭlata ṣ-ṣayfi bayna l-jibāli maʿa farīqi l-jawwālah,Je passerai les vacances d'été dans les montagnes avec l'équipe de scouts.
16,العطلة,Les Vacances,16.3,الطالب 4,سَأَقْضِي العُطْلَةَ فِي مَكَّةَ والمَدِينَةِ مَعَ أُسْرَتِي,Sa-aqḍī l-ʿuṭlata fī Makkata wa l-Madīnati maʿa usratī,Je passerai les vacances à La Mecque et Médine avec ma famille.
16,العطلة,Les Vacances,16.3,الطالب 4,سَنَعْتَمِرُ، وَنَحُجُّ ، وَنَزُورُ المَسْجِدَ النَّبَوِيَّ,"Sanaʿtamiru, wa naḥujju, wa nazūru l-Masjida n-Nabawiyy","Nous ferons la Omra, le Hajj, et nous visiterons la Mosquée du Prophète."
16,العطلة,Les Vacances,16.3,الطالب 5,سَأَقْضِي العُطْلَةَ فِي بَلَدِي سأساعد والدي في المَزْرَعَة,"Sa-aqḍī l-ʿuṭlata fī baladī, sa-usāʿidu wālidī fī l-mazraʿah","Je passerai les vacances dans mon pays, j'aiderai mon père à la ferme."
16,العطلة,Les Vacances,16.3,المدرس,عُطْلَةً سَعِيدَةً يا أبنائي,ʿUṭlatan saʿīdatan yā abnā'ī,Bonnes vacances mes enfants.
16,العطلة,Les Vacances,16.3,الطلاب,عُطْلَةً سَعِيدَةً يَا أُسْتَاذُ,ʿUṭlatan saʿīdatan yā ustādh,Bonnes vacances professeur.
